Ket,Id,Name,size (jumlah data),Nama Indo,Source,Deskripsi,Khasiat,Resep,Tag,Image
,1,Amaranthus Viridis (Arive-Dantu),122,Bayam Hijau,https://g.co/kgs/b3PTAL,"Bayam merupakan salah satu jenis sayuran hijau yang banyak ditanam dan dikembangkan di Asia, termasuk Indonesia. Tak hanya baik untuk orang dewasa, sayuran ini juga baik dikonsumsi oleh bayi, anak-anak, ibu hamil, hingga lansia. Bayam dikenal sebagai sayuran rendah kalori dan kaya serat. Selain itu, bayam juga mengandung beragam nutrisi lain, seperti: Vitamin A, vitamin B kompleks, vitamin C, dan Vitamin E,Magnesium, Zat besi, Asam folat, Kalsium, Kalium, antioksidan, seperti lutein dan zeaxanthin.","Meredakan peradangan,meningkatkan sistem kekebalan tubuh, mencegah anemia, menjaga kesehatan mata, menurunkan risiko penyakit kardiovaskular, menjaga kesehatan kulit, mencegah kanker, ","Cuci satu ikat daun dan batang bayam segar hingga bersih, lalu tumbuk hingga halus. Tambahkan garam halus seujung sendok teh sambil diaduk rata. Peras dan saring, lalu minum sekaligus. Lakukan pengobatan ini 2-3 kali dalam seminggu.","anemia, mata, kulit, peradangan, kekebalan, kardiovaskular, kanker",https://storage.googleapis.com/herb-bucket-2/images/1-AV-S-015.jpg
,2,Basella Alba (Basale),103,Bayam Malabar,https://www.merdeka.com/jabar/10-manfaat-tanaman-gendola-bagi-kesehatan-lancarkan-pencernaan-hingga-cegah-anemia-kln.html,"Gendola atau dikenal dengan nama Bayam Malabar adalah salah satu jenis sayuran bergizi dan mudah ditanam. Sayuran ini dapat dengan mudah kita temukan di wilayah Asia dan Afrika. Sayuran sehat ini memiliki banyak nama umum, di antaranya Basella alba, bayam anggur, bayam panjat, dan bayam anggur merah.
Bayam Malabar adalah tanaman merambat bertangkai lunak dan mampu tumbuh dengan cepat. Tanaman ini mampu tumbuh hingga mencapai panjang 30 kaki. Basella alba bisa tumbuh menjadi dua macam warna, yaitu merah atau hijau.Gendola mengandung vitamin C, vitamin A, kalsium dan, zat besi. Tumbuhan ini juga rendah kalori dan memiliki jumlah protein yang tinggi serta menjadi sumber serat larut yang bagus. ","Mencegah Kanker, Membantu Menurunkan Berat Badan, Meningkatkan Kualitas Tidur, Mencegah Terserang Penyakit, Mengontrol Tekanan Darah, Mengontrol Kadar Gula Darah, Meningkatkan Kesehatan Tulang, Menurunkan Kolesterol, Menurunkan Risiko Anemia",Untuk minum : Semua bagian tanaman sejumlah 15-30g atau 30g akar direbus,"Radang usus buntu, Disentri, Berak darah, Influenza, Sembelit, Radang kandung kencing, Borok, Bisul, Abses, Campak (measles), Cacar air, Pegal linu, Reumatik, Radang selaput mata",https://storage.googleapis.com/herb-bucket-2/images/2-BA-S-015.jpg
,3,Ficus Auriculata (Roxburgh fig) 50,50,Ara,https://journal.untar.ac.id/index.php/jmistki/article/view/1561,"Keberadaannya mudah dikenali dari bagian daunnya, karena daun yang dimilikinya berbentuk bulat dan berukuran besar. Ukuran panjang daun sekitar 44 cm dan memiliki ukuran lebar sekitar 45 cm. Daun berukuran besar tersebut melekat pada tangkai sepanjang 15 cm. Tanaman yang masuk dalam golongan pohon kecil ini memiliki tinggi 5 – 10 meter dengan jumlah cabang pohon yang banyak dan tertutup oleh bulu. Pohon ini sensitif terhadap api, tapi sangat menyukai sinar matahari.","Memiliki senyawa bioaktif sebagai antioksidan, mengatasi stress oksidatif, kanker.","Jika daun ara/tin segar: Rebus 1 lembar daun untuk 12 ukuran +/- 250ml atau sesuai selera.
Jika daun ara/tin kering: Remas daun terlebih dahulu kemudian ambil sebanyak satu sendok teh (1,3 gr) untuk 2 gelas ukuran +/- 250ml atau sesuai selera.
Seduh dengan air panas dan tutuplah seduhan,supaya kandungan nutrisi pada daun tidak ikut terbawa uap air .
Bisa dikonsumsi dengan atau tanpa gula.
Jika anda suka bisa ditambahkan bahan lain seperti madu, gula merah atau jeruk nipis.
Aduk seduhan daun ara/tin
Minum seduhan daun ara/tin selagi masih hangat, dan jangan biarkan seduhan jika lebih dari 12 jam karena sudah tidak layak dikonsumsi sebab kadar zat di dalamnya sudah berubah.
Namun air seduhan daun tin bisa juga diawetkan loh, caranya : simpan di lemari pendingin.dengan catatan belum ditambahkan gula.
Bila tujuannya untuk pengobatan maka takaran daun rebus bisa diperbanyak sesuai dengan kebutuhan","antioksidan, stress, kanker, diabetes, rematik, asma, bronkitis, batuk kering, hemoptipis, menoragia, keputihan, penyakit ginjal dan limfa, mimisan",https://storage.googleapis.com/herb-bucket-2/images/3-FA-S-005.jpg
,4,Moringa Oleifera (Drumstick) 77,77,Daun Kelor,https://www.alodokter.com/kandungan-dan-manfaat-daun-kelor-bagi-kesehatan,"Daun kelor (Moringa oleifera) merupakan tanaman tropis yang sejak lama telah dimanfaatkan sebagai pengobatan tradisional.
Tanaman ini dapat dikenali dari bentuk daunnya yang berukuran kecil.
Pohon kelor juga mudah tumbuh dan bisa hidup di tanah yang tidak terlalu subur.","Daun kelor berkhasiat untuk mengobati diabetes, nyeri sendi, infeksi bakteri, kanker.","Petik daun kelor segar yang masih muda. Rendam dan cuci dengan air hingga bersih. 
Jemur daun kelor hingga kering.
Simpan daun kelor yang sudah kering sempurna di wadah tertutup.
Untuk mengonsumsinya, siapkan panci rebus satu liter air hingga mendidih.
Masukkan dua sendok daun kelor kering ke dalam panci.
Rebus daun kelor selama kurang lebih 5 menit.
Saring teh daun kelor untuk memisahkan serpihan daun.
Air rebusan daun kelor siap diminum.","diabetes, kanker, infeksi, nyeri",https://storage.googleapis.com/herb-bucket-2/images/4-MO-S-009.jpg
,5,Muntingia Calabura (Jamaica Cherry-Gasagase),56,Kersen,https://journal.trunojoyo.ac.id/agrovigor/article/view/5418,"Kersen, seri, ceri, talok atau kerukup siam (Muntingia calabura) secara lokal disebut kersen atau kersem adalah sejenis pohon sekaligus buahnya yang kecil dan manis berwarna merah cerah.","Daunnya bersifat antiseptik atau antibakteri, digunakan untuk meringankan sakit kepala dan selesma","Petik saja daun kersen yang masih segar, lalu jemur di bawah sinar sampai kering
Jika sudah kering, kita bisa menyeduh daun talok kering ini dengan air panas.
Biarkan sampai hangat baru diminum seduhan daun ini sebelum tidur
Ampasnya bisa digunakan lagi untuk menyeduh dengan air panas baru besok paginya, lalu buang. Tapi kalau tidak sayang bisa sekali pakai saja.
Minumlah secara rutin hingga gula darah Anda normal kembali.","antiseptik, antibakteri, salesma",https://storage.googleapis.com/herb-bucket-2/images/5-MC-S-023.jpg
,6,Murraya Koenigii (Curry) 60,60,Daun Kari,https://www.sehatq.com/artikel/daun-kari-dan-manfaatnya-untuk-kesehatan,"Daun kari berasal dari pohon Murraya koenigii. Di Indonesia, dikenal dengan sebutan ""salam koja"". tanaman ini yang berasal dari India yang langsung dipetik dari pohonnya untuk diolah menjadi makanan maupun digunakan sebagai pengobatan.","Menurunkan berat badan, menyehatkan jantung, mencegah kanker, menjaga kestabilan gula darah, mencegah kerontokan rambut, mengatasi morning sickness, membantu proses penyembuhan luka","Bahan-bahan :
10 lembar daun kari.
1 ruas jahe, memarkan.
3 gelas air.
Lemon.
Madu.

Cara Membuat:
Bersihkan daun dari kemudian rebus bersama dengan jahe yang sudah dimemarkan selama 20 menit dengan api kecil. Rebus hingga air menjadi setengah.
Matikan api kemudian diamkan selama 10 menit dan biarkan tertutup.
Tuangkan teh ke dalam cangkir kemudian tambahkan perasan lemon dan juga madu.","kanker, gula darah, morning sickness, jantung",https://storage.googleapis.com/herb-bucket-2/images/6-MK-S-037.jpg
,7,Nyctanthes Arbor-tristis (Parijata) 40,40,Srigading,https://www.haibunda.com/moms-life/20200823022756-76-158171/tanaman-hias-srigading-berkhasiat-dan-punya-wangi-khas,"Tanaman srigading memiliki nama ilmiah Nyctanthes arbor-tristis. Srigading juga dikenal sebagai night jasmine ini memiliki ciri yang mirip dengan bunga melati dan mengeluarkan wangi, terutama saat malam hari.","Mengobati malaria, demam, arthritis (peradangan pada sendi), batuk kering, gejala asma, penyakit hati dan cacingan pada perut, sembelit, anti inflamasi","Bahan:
Daun srigading secukupnya.
Garam dapur secukupnya.
Madu murni secukupnya.

Cara membuat:

Cuci bersih daun srigading.
Tumbuk hingga halus.
Peras airnya dan tambahkan garam serta madu secukupnya.
Minum setiap hari menjelang tidur. ","demam, malaria, batuk, asma, sembelit, cacingan",https://storage.googleapis.com/herb-bucket-2/images/7-NA-S-030.jpg
,8,Ocimum Tenuiflorum (Tulsi),52,Ruku-ruku,https://id.wikihow.com/Menanam-Ruku-Ruku,Ruku-ruku atau Kemangi Hutan atau Ocimum tenuiflorum merupakan tanaman terna yang tergolong familia lamiaceae. Tanaman ini mirip dengan kemangi sehingga orang sering salah kaprah.,"Adaptogen (antidepresan dan anticemas), mengendalikan gula darah, mengendalikan kadar kolesterol, menjaga kesehatan lambung, melawan infeksi luka dan radikal bebas, mengikis peradangan","Ambil daun ruku-ruku secukupnya, rebus hingga air mendidih, tiriskan, jamu siap untuk diminum","antidepresan, gula darah, kolesterol, radikal bebas, radang, demam",https://storage.googleapis.com/herb-bucket-2/images/8-OT-S-024.jpg
,9,Piper Betle (Betel) 48,48,Daun Sirih,https://www.idntimes.com/food/dining-guide/asti-pujiningtiyas/baik-untuk-kesehatan-ini-7-manfaat-daun-sirih-yang-harus-kamu-ketahui-c1c2,"Sirih adalah tanaman asli Indonesia yang tumbuh merambat atau bersandar pada batang pohon lain. Sebagai budaya daun dan buahnya biasa dikunyah bersama gambir, pinang, tembakau dan kapur.","Mengatasi diare, menyehatkan jantung, mengobati luka lambung, mencegah karies gigi, menyehatkan alat reproduksi, mengatasi diabetes, menurunkan kolesterol, membantu proses penyembuhan luka bakar","Rebus 20 helai daun sirih dengan 3 gelas air, sampai tinggal 3/4. Setelah dingin diminum dengan madu atau gula batu. Konsumsi tiga kali sehari.","batuk, diare, sembelit, gusi berdarah, sariawan, bau mulut",https://storage.googleapis.com/herb-bucket-2/images/9-PB-S-017.jpg
,10,Psidium Guajava (Guava),65,Jambu biji,http://psr.ui.ac.id/index.php/journal/article/view/3323,"Daun jambu biji (Psidium guajava L) mengandung berbagai senyawa metabolit sekunder antara lain tanin, minyak atsiri, flavonoid, dan saponin. Senyawa-senyawa tersebut berpotensi sebagai antioksidan dan bahan pengawet alami. Daun jambu biji dikenal sebagai bahan obat tradisional untuk batuk dan diare.","Mencegah penuaan dini, mengatasi jerawat, menghilangkan noda hitam bekas jerawat, mengangkat komedo hitam, meredakan rasa gatal","cara membuat masker jambu biji untuk wajah:
Hancurkan beberapa lembar daun jambu biji kering yang sudah dicuci.
Didihkan air.
Masukkan daun jambu yang sudah dihaluskan ke dalam panci.
Biarkan sampai air berwarna kecokelatan atau pekat.
Dinginkan air rebusan
Oleskan air rebusan secara menyeluruh pada wajah menggunakan kapas bersih.
Biarkan selama kurang lebih 15 menit lalu bilas dengan air bersih.","diare, kanker, kulit, jerawat,gusi, diabetes",https://storage.googleapis.com/herb-bucket-2/images/10-PG-S-008.jpg
